Fecha,Lote,Marca comercial,Principio activo,Dosis,Plaga o enfermedad,Maquina utilizada,Tiempo de carencia,Tipo de aplicación o riego,Operario responsable,Excedente,
,3,Afital,Fosfito de K,800/400,Mejoramiento de planta,Tractor/Tanque,,,"""",,
15/1/2021,3,Falqat,Paraquat,1050/150,Malezas ,Mochila,,,"""",,
18/1/2021,3,Mifos,Glifosato,2800/400,Malezas entresurco,Tractor/Tanque,,,"""",,
23/1/2021,3,Decis,Deltametrina,100/500,Insectos en restos ,"""",,,Aguirre,,
 5/2/2021,3,Movento,Spirotetramat,288/400,Mosca blanca,"""",,,"""",,
,3,Decis ,Deltametrina,80/400,Mosca blanca,"""",,,"""",,
,3,Silución,Zn+Mg+Cu+,800/400,,,,,,,
16/2/2021,3,FFO,Moo,4000/200,Mejoramiento de planta,Tractor/eq riego,,,Cabral,,
14/6/2019,4,FFO,,"2,9",,1,,RIEGO,,200,
26/6/2019,4,FFO,,"2,9",,1,,RIEGO,,200,
19/7/2019,4,FFO,,"1,75",,1,,RIEGO,,200,
,4,ACEITE,,"0,015",,1,,,,,
,4,SILUCION,,"0,02",,1,,,,100,
4/9/2020,4,Dual,Metolacloro,180/200,Malezas entresurco,,,Pulverizacion,Lulo,,
23/9/2020,4,Cota 4,SO4 Cu pentahidr,700/200,Preventivo fungosis,Mochila,,Pulverización,Lulo,,
29/9/2020,4,"""","""",700/200,Preventivo fungosis,Mochila,,Pulverización,Lulo,,
6/10/2020,4,Infinito,Propamocarb,100/200,Mildew,Mochila,,Pulverizacion,Lulo,,
"""",4,Imi Max,Imidaclorprid,150/200,Acaros,Mochila,,Pulver,Lulo,,
"""",4,Fosfito de K,,200/200,Nutricion/fungosis,Mochila,,Pulver,Lulo,,
17/11/2020,4,Sencorex,Metribuzin,320/400,Malezas pretraspl,Tract/pulver,,Pulver,Aguirre,,
25/11/2020,4,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,Pulverizacion,Aguirre,,
"""",4,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,"""","""",,
7/12/2020,4,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,"""","""",,
"""",4,Belt,Flubendiamide,15/50,Cogollero,"""",,"""","""",,
14/12/2020,4,Proclaim,Emamectina,35/100,Cogollero,"""",,"""","""",,
28/12/2020,4,Hellion,Lufenuron,150/200,Cogollero,"""",,"""","""",,
"""",4,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),"""",,"""","""",,
4/1/2021,4,Hellion,Lufenuron,150/200,Cogollero,"""",,"""","""",,
,4,Belt,Flubendiamide,60/200,Cogollero,"""",,"""","""",,
7/1/2021,4,Belt,Flubendiamide,120/400,Cogollero,Tract/pulver,,,"""",,
,4,Sunfire,Clorfenapir,300/400,Cogollero,Tract/pulver,,,,,
,4,Afital,Fosfito de K,800/400,Cogollero,Tract/pulver,,,,,
12/1/2021,4,Bellis,Piroclostrobim,140/400,Botritys,"""",,Pulverización,Aguirre,,
,4,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
,4,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
18-19/1/21,4,Amistar ,Axosystrobim,400/800,Oidio,Tract/pulver,,"""","""",,
,4,Hellion,Lufenuron,600/800,Cogollero,"""",,"""","""",,
,4,Afital,Fosfito de K,1600/800,Mejoras (Fungi y ferti),Tract/pulver,,"""","""",,
22/1/2021,4,Belt,Flubendiamide,120/400,Cogollero,Tract/pulver,,"""","""",,
,4,Decis,Deltametrina,80/400,Cogollero,Tract/pulver,,"""","""",,
